pos_order_number,sku_id,qty,total_amount,order_date,promotion_code,promotion_name_zh,promotion_name_en,promotion_label,promotion_discount_amount,cashier,hybris_sync_date,mall_dollar_rebate_amount
KRS0020260304142355,H1688001_S_10112303,2,49.9,2026-03-04,PROMO_32476,"<FRUIT>  ALL 盒裝黑莓 ／盒裝紅莓 : $49.9/2盒","<FRUIT>  ALL 盒裝黑莓 ／盒裝紅莓 : $49.9/2盒",RM_DISCOUNT_SKU_LEVEL,6.1,HWCHOW,"0000-00-00 00:00:00",NULL
KRS0020260304142355,H1688001_S_10111262,3,29.9,2026-03-04,PROMO_32096|PROMO_32542,"<FRUIT>  ALL 澳洲牛油果: $39.9/3個|送檸檬碳酸1支(3)","<FRUIT> Buy More Save More: $39.9/3|送檸檬碳酸1支(3)",RM_DISCOUNT_SKU_LEVEL|RM_DISCOUNT_SKU_LEVEL,5.1|10.0,HWCHOW,"0000-00-00 00:00:00",NULL
KRS0020260304142355,H0888001_S_10160755,1,10,2026-03-04,PROMO_32536,送檸檬碳酸1支(1),送檸檬碳酸1支(1),RM_DISCOUNT_SKU_LEVEL,8.0,HWCHOW,"0000-00-00 00:00:00",NULL
MKS0020260304142410,H1688001_S_10111284,1,89.9,2026-03-04,,,,,,KYLAI,"0000-00-00 00:00:00",NULL
KOR0020260304142351,H1688001_S_10112070,1,107.9,2026-03-04,PROMO_4347,"Auto 長者會員每件-$2","Auto Senior Club Member -$2/pcs",PROMOTION,2.0,TLLO,"0000-00-00 00:00:00",NULL
HUH0020260304142414,H0888001_S_10138512,2,42,2026-03-04,PROMO_27950,"<RM>日本白蛋/韓國蛋/泰國蛋 $42/2","<RM>日本白蛋/韓國蛋/泰國蛋 $42/2",RM_DISCOUNT_SKU_LEVEL,8.0,MF250345,"0000-00-00 00:00:00",NULL
STR0020260304142415,H0888001_S_10155682,2,72.1,2026-03-04,PROMO_1855|PROMO_28403,Auto「自取再買現貨」95折優惠|(3月狂劈價)澳洲150日穀飼黑安格斯牛肩胛火鍋片$75.9/2,"Auto Shop pick-up 5% off|(3月狂劈價)澳洲150日穀飼黑安格斯牛肩胛火鍋片$75.9/2",RM_DISCOUNT_ORDER_LEVEL|RM_DISCOUNT_SKU_LEVEL,3.8|15.9,NGYT,"2000-07-21 00:00:00",NULL
STR0020260304142415,H0888001_S_10159801,1,62.7,2026-03-04,PROMO_1855,Auto「自取再買現貨」95折優惠,"Auto Shop pick-up 5% off",RM_DISCOUNT_ORDER_LEVEL,3.3,NGYT,"2000-06-27 00:00:00",NULL
NMW0020260304142414,H1688001_S_10188116,6,10.8,2026-03-04,PROMO_CLEARANCE_DEFAULT,O2O門市清貨優惠,"O2O Store Clearance Discount",MANUAL,25.2,SYMAK,"0000-00-00 00:00:00",NULL
ERE0120260304142413,H0888001_S_10135499,4,272,2026-03-04,,,,,,WHNG,"0000-00-00 00:00:00",NULL
SHE0120260304142417,H0888001_S_10153500,2,158,2026-03-04,,,,,,KFHO,"0000-00-00 00:00:00",NULL
LOP0020260304142423,H0888001_S_10151676,2,104,2026-03-04,,,,,,PCFLAI,"0000-00-00 00:00:00",NULL
GIN0220260304142430,H1688001_S_10111281,1,49,2026-03-04,PROMO_CLEARANCE_DEFAULT,O2O門市清貨優惠,"O2O Store Clearance Discount",MANUAL,49.0,MF231068,"0000-00-00 00:00:00",NULL
SCE0120260304142430,H1688001_S_10112341,2,79.9,2026-03-04,PROMO_31311|PROMO_32539,"<FRUIT>  ALL 藍色長盒珍寶藍莓: $89.9/2盒|送檸檬碳酸1支(2)","<FRUIT> Buy More Save More: $89.9/2|送檸檬碳酸1支(2)",RM_DISCOUNT_SKU_LEVEL|RM_DISCOUNT_SKU_LEVEL,10.1|10.0,MF231188,"0000-00-00 00:00:00",NULL
SCE0120260304142430,H0888001_S_10160755,1,10,2026-03-04,PROMO_32539,送檸檬碳酸1支(2),送檸檬碳酸1支(2),RM_DISCOUNT_SKU_LEVEL,8.0,MF231188,"0000-00-00 00:00:00",NULL
OWS0320260304142425,H1688001_S_10111282,1,89.9,2026-03-04,,,,,,LOMF,"0000-00-00 00:00:00",NULL
OWS0320260304142425,H0888001_S_10158756,1,45.9,2026-03-04,PROMO_29588,消費換購1件,消費換購1件,RM_DISCOUNT_SKU_LEVEL,6.1,LOMF,"0000-00-00 00:00:00",NULL
SGL0020260304142441,H1688001_S_10112303,2,49.9,2026-03-04,PROMO_32476,"<FRUIT>  ALL 盒裝黑莓 ／盒裝紅莓 : $49.9/2盒","<FRUIT>  ALL 盒裝黑莓 ／盒裝紅莓 : $49.9/2盒",RM_DISCOUNT_SKU_LEVEL,6.1,YKDLIU,"0000-00-00 00:00:00",NULL
HWP0120260304142435,H1688001_S_10111262,3,29.9,2026-03-04,PROMO_32096|PROMO_32542,"<FRUIT>  ALL 澳洲牛油果: $39.9/3個|送檸檬碳酸1支(3)","<FRUIT> Buy More Save More: $39.9/3|送檸檬碳酸1支(3)",RM_DISCOUNT_SKU_LEVEL|RM_DISCOUNT_SKU_LEVEL,5.1|10.0,HSIP,"0000-00-00 00:00:00",NULL
HWP0120260304142435,H0888001_S_10018941,2,32.9,2026-03-04,PROMO_32146,消費換購2件,消費換購2件,RM_DISCOUNT_SKU_LEVEL,24.9,HSIP,"0000-00-00 00:00:00",NULL
HWP0120260304142435,H0888001_S_10160755,1,10,2026-03-04,PROMO_32536,送檸檬碳酸1支(1),送檸檬碳酸1支(1),RM_DISCOUNT_SKU_LEVEL,8.0,HSIP,"0000-00-00 00:00:00",NULL
HOM0320260304142447,H1688001_S_10112504,6,19.9,2026-03-04,PROMO_31263,"<FRUIT>  ALL 瑭橙: $19.9/6個","<FRUIT> Buy More Save More: $19.9/6",RM_DISCOUNT_SKU_LEVEL,4.1,WHNG,"0000-00-00 00:00:00",NULL
KRS0020260304142451,H1688001_S_10112504,6,19.9,2026-03-04,PROMO_31263,"<FRUIT>  ALL 瑭橙: $19.9/6個","<FRUIT> Buy More Save More: $19.9/6",RM_DISCOUNT_SKU_LEVEL,4.1,HWCHOW,"0000-00-00 00:00:00",NULL
LOP0020260304142444,H0001001_S_plasticbag2,1,1,2026-03-04,,,,,,PCFLAI,"0000-00-00 00:00:00",NULL
MKS0020260304142451,H0888001_S_10161394,6,60,2026-03-04,PROMO_26672|PROMO_32482,"<RM>  檸檬果汁碳酸飲料 $80/6|<RM> 買任何貨品 $10 換購一支","<RM>  檸檬果汁碳酸飲料 $80/6|<RM> 買任何貨品 $10 換購一支",RM_DISCOUNT_SKU_LEVEL|RM_DISCOUNT_SKU_LEVEL,28.0|20.0,KYLAI,"0000-00-00 00:00:00",NULL
SIU0020260304142500,H1688001_S_10111868,1,49.9,2026-03-04,PROMO_32536,送檸檬碳酸1支(1),送檸檬碳酸1支(1),RM_DISCOUNT_SKU_LEVEL,10.0,WSLEUNG,"0000-00-00 00:00:00",NULL
SIU0020260304142500,H0888001_S_10160755,1,10,2026-03-04,PROMO_32536,送檸檬碳酸1支(1),送檸檬碳酸1支(1),RM_DISCOUNT_SKU_LEVEL,8.0,WSLEUNG,"0000-00-00 00:00:00",NULL
GCS0220260304142503,H0888001_S_10138512,2,42,2026-03-04,PROMO_27950,"<RM>日本白蛋/韓國蛋/泰國蛋 $42/2","<RM>日本白蛋/韓國蛋/泰國蛋 $42/2",RM_DISCOUNT_SKU_LEVEL,8.0,FYLEUNG,"2000-04-02 00:00:00",NULL
GCS0220260304142503,H1688001_S_10111262,3,39.9,2026-03-04,PROMO_32096,"<FRUIT>  ALL 澳洲牛油果: $39.9/3個","<FRUIT> Buy More Save More: $39.9/3",RM_DISCOUNT_SKU_LEVEL,5.1,FYLEUNG,"0000-00-00 00:00:00",NULL
GCS0220260304142503,H0888001_S_10018941,2,32.9,2026-03-04,PROMO_32146,消費換購2件,消費換購2件,RM_DISCOUNT_SKU_LEVEL,24.9,FYLEUNG,"2000-03-29 00:00:00",NULL
SHS0120260304142504,H1688001_S_10111270,3,33.9,2026-03-04,PROMO_32530,"<FRUIT>  ALL 日本王林蘋果: $33.9/3個","<FRUIT> Buy More Save More: $33.9/3個",RM_DISCOUNT_SKU_LEVEL,5.1,LYCHUNG,"0000-00-00 00:00:00",NULL
GIN0220260304142506,H1688001_S_10112504,6,19.9,2026-03-04,PROMO_31263,"<FRUIT>  ALL 瑭橙: $19.9/6個","<FRUIT> Buy More Save More: $19.9/6",RM_DISCOUNT_SKU_LEVEL,4.1,MF231068,"0000-00-00 00:00:00",NULL
OWS0320260304142514,H1688001_S_10111380,2,23.9,2026-03-04,PROMO_32515|PROMO_32539,"<FRUIT>  ALL 超甜神石榴: $33.9/2個|送檸檬碳酸1支(2)","<FRUIT> Buy More Save More: $33.9/2|送檸檬碳酸1支(2)",RM_DISCOUNT_SKU_LEVEL|RM_DISCOUNT_SKU_LEVEL,4.1|10.0,LOMF,"0000-00-00 00:00:00",NULL
OWS0320260304142514,H0888001_S_10161394,1,10,2026-03-04,PROMO_32539,送檸檬碳酸1支(2),送檸檬碳酸1支(2),RM_DISCOUNT_SKU_LEVEL,8.0,LOMF,"0000-00-00 00:00:00",NULL
LOH0020260304142513,H1688001_S_10112341,2,79.9,2026-03-04,PROMO_31311|PROMO_32539,"<FRUIT>  ALL 藍色長盒珍寶藍莓: $89.9/2盒|送檸檬碳酸1支(2)","<FRUIT> Buy More Save More: $89.9/2|送檸檬碳酸1支(2)",RM_DISCOUNT_SKU_LEVEL|RM_DISCOUNT_SKU_LEVEL,10.1|10.0,MF220683,"0000-00-00 00:00:00",NULL
LOH0020260304142513,H0888001_S_10161394,1,10,2026-03-04,PROMO_32539,送檸檬碳酸1支(2),送檸檬碳酸1支(2),RM_DISCOUNT_SKU_LEVEL,8.0,MF220683,"0000-00-00 00:00:00",NULL
TWO0020260304142519,H1688001_S_10111262,3,29.9,2026-03-04,PROMO_32096|PROMO_32542,"<FRUIT>  ALL 澳洲牛油果: $39.9/3個|送檸檬碳酸1支(3)","<FRUIT> Buy More Save More: $39.9/3|送檸檬碳酸1支(3)",RM_DISCOUNT_SKU_LEVEL|RM_DISCOUNT_SKU_LEVEL,5.1|10.0,MYKO,"0000-00-00 00:00:00",NULL
TWO0020260304142519,H0888001_S_10161394,1,10,2026-03-04,PROMO_32536,送檸檬碳酸1支(1),送檸檬碳酸1支(1),RM_DISCOUNT_SKU_LEVEL,8.0,MYKO,"0000-00-00 00:00:00",NULL
YLS0020260304142516,H0888001_S_10158862,1,12.5,2026-03-04,PROMO_29874,"<RM> PLUS 可爾必思 $25/2","<RM> PLUS 可爾必思 $25/2",RM_DISCOUNT_SKU_LEVEL,3.4,KMHO,"0000-00-00 00:00:00",NULL
YLS0020260304142516,H0888001_S_10158864,1,12.5,2026-03-04,PROMO_29874,"<RM> PLUS 可爾必思 $25/2","<RM> PLUS 可爾必思 $25/2",RM_DISCOUNT_SKU_LEVEL,3.4,KMHO,"0000-00-00 00:00:00",NULL
SLE0120260304142334,H0888001_S_10155840,1,85,2026-03-04,,,,,,KKLO,"0000-00-00 00:00:00",NULL
WCR0020260304142524,H1688001_S_10111868,1,49.9,2026-03-04,PROMO_32536,送檸檬碳酸1支(1),送檸檬碳酸1支(1),RM_DISCOUNT_SKU_LEVEL,10.0,MF240005,"0000-00-00 00:00:00",NULL
WCR0020260304142524,H0888001_S_10161394,1,10,2026-03-04,PROMO_32536,送檸檬碳酸1支(1),送檸檬碳酸1支(1),RM_DISCOUNT_SKU_LEVEL,8.0,MF240005,"0000-00-00 00:00:00",NULL
HDS0020260304142528,H1688001_S_10111282,1,87.9,2026-03-04,PROMO_4347,"Auto 長者會員每件-$2","Auto Senior Club Member -$2/pcs",PROMOTION,2.0,LOMF,"0000-00-00 00:00:00",NULL
HDS0020260304142528,H0888001_S_10138512,1,0,2026-03-04,PROMO_4347|PROMO_31854,"Auto 長者會員每件-$2|(長者會認證後消費即送雞蛋)","Auto Senior Club Member -$2/pcs|(長者會認證後消費即送雞蛋)",PROMOTION|MANUAL,0.0|25.0,LOMF,"0000-00-00 00:00:00",NULL
YMS0220260304142534,H0888001_S_10158743,1,35,2026-03-04,,,,,,CFLO,"0000-00-00 00:00:00",NULL
MKS0020260304142535,H1688001_S_10111315,1,28,2026-03-04,PROMO_CLEARANCE_DEFAULT,O2O門市清貨優惠,"O2O Store Clearance Discount",MANUAL,11.0,KYLAI,"0000-00-00 00:00:00",NULL
APG0120260304142533,H0888001_S_10138512,2,42,2026-03-04,PROMO_27950,"<RM>日本白蛋/韓國蛋/泰國蛋 $42/2","<RM>日本白蛋/韓國蛋/泰國蛋 $42/2",RM_DISCOUNT_SKU_LEVEL,8.0,MF231063,"0000-00-00 00:00:00",NULL
CIS0020260304142536,H1688001_S_10111284,1,89.9,2026-03-04,,,,,,MANWONG,"0000-00-00 00:00:00",NULL
LOP0020260304142537,H1688001_S_10112341,2,89.9,2026-03-04,PROMO_31311,"<FRUIT>  ALL 藍色長盒珍寶藍莓: $89.9/2盒","<FRUIT> Buy More Save More: $89.9/2",RM_DISCOUNT_SKU_LEVEL,10.1,PCFLAI,"0000-00-00 00:00:00",NULL
LOP0020260304142537,H0888001_S_10156232,1,88,2026-03-04,PROMO_29588,消費換購1件,消費換購1件,RM_DISCOUNT_SKU_LEVEL,21.0,PCFLAI,"0000-00-00 00:00:00",NULL
STL0120260304142459,H1688001_S_10111270,3,33.9,2026-03-04,PROMO_32530,"<FRUIT>  ALL 日本王林蘋果: $33.9/3個","<FRUIT> Buy More Save More: $33.9/3個",RM_DISCOUNT_SKU_LEVEL,5.1,MF250276,"0000-00-00 00:00:00",NULL
FVG0220260304142536,H1688001_S_10112504,6,19.9,2026-03-04,PROMO_31263,"<FRUIT>  ALL 瑭橙: $19.9/6個","<FRUIT> Buy More Save More: $19.9/6",RM_DISCOUNT_SKU_LEVEL,4.1,MF240107,"0000-00-00 00:00:00",NULL
PFB0020260304142548,H0888001_S_10138512,2,42,2026-03-04,PROMO_27950,"<RM>日本白蛋/韓國蛋/泰國蛋 $42/2","<RM>日本白蛋/韓國蛋/泰國蛋 $42/2",RM_DISCOUNT_SKU_LEVEL,8.0,TLCHAN,"0000-00-00 00:00:00",NULL
SCE0120260304142512,H0888001_S_10138512,4,84,2026-03-04,PROMO_27950,"<RM>日本白蛋/韓國蛋/泰國蛋 $42/2","<RM>日本白蛋/韓國蛋/泰國蛋 $42/2",RM_DISCOUNT_SKU_LEVEL,16.0,MF231188,"2000-08-04 00:00:00",NULL
HDS0020260304142554,H0888001_S_10138512,2,42,2026-03-04,PROMO_27950,"<RM>日本白蛋/韓國蛋/泰國蛋 $42/2","<RM>日本白蛋/韓國蛋/泰國蛋 $42/2",RM_DISCOUNT_SKU_LEVEL,8.0,LOMF,"0000-00-00 00:00:00",NULL
TWS0020260304142554,H1688001_S_10111380,2,23.9,2026-03-04,PROMO_32515|PROMO_32539,"<FRUIT>  ALL 超甜神石榴: $33.9/2個|送檸檬碳酸1支(2)","<FRUIT> Buy More Save More: $33.9/2|送檸檬碳酸1支(2)",RM_DISCOUNT_SKU_LEVEL|RM_DISCOUNT_SKU_LEVEL,4.1|10.0,MF250301,"0000-00-00 00:00:00",NULL
TWS0020260304142554,H0888001_S_10160755,1,10,2026-03-04,PROMO_32539,送檸檬碳酸1支(2),送檸檬碳酸1支(2),RM_DISCOUNT_SKU_LEVEL,8.0,MF250301,"0000-00-00 00:00:00",NULL
TWS0020260304142554,H1688001_S_10111881,1,9.9,2026-03-04,PROMO_29441,<水果>消費換購,<水果>消費換購,RM_DISCOUNT_SKU_LEVEL,6.9,MF250301,"0000-00-00 00:00:00",NULL
LYG0020260304142548,H1688001_S_10111868,1,49.9,2026-03-04,PROMO_32536,送檸檬碳酸1支(1),送檸檬碳酸1支(1),RM_DISCOUNT_SKU_LEVEL,10.0,KLMA,"0000-00-00 00:00:00",NULL
LYG0020260304142548,H0888001_S_10161394,1,10,2026-03-04,PROMO_32536,送檸檬碳酸1支(1),送檸檬碳酸1支(1),RM_DISCOUNT_SKU_LEVEL,8.0,KLMA,"0000-00-00 00:00:00",NULL
LYG0020260304142548,H0001001_S_plasticbag2,1,1,2026-03-04,,,,,,KLMA,"0000-00-00 00:00:00",NULL
TCS0320260304142606,H1688001_S_10188197,2,12,2026-03-04,,,,,,HYTO,"0000-00-00 00:00:00",NULL
SHE0120260304142607,H0888001_S_10138512,2,42,2026-03-04,PROMO_27950,"<RM>日本白蛋/韓國蛋/泰國蛋 $42/2","<RM>日本白蛋/韓國蛋/泰國蛋 $42/2",RM_DISCOUNT_SKU_LEVEL,8.0,KFHO,"0000-00-00 00:00:00",NULL
SHE0120260304142607,H0001001_S_plasticbag2,1,1,2026-03-04,,,,,,KFHO,"0000-00-00 00:00:00",NULL
TYS0020260304142609,H1688001_S_10111282,1,68,2026-03-04,PROMO_32105,TYS,TYS,RM_DISCOUNT_SKU_LEVEL,21.9,LMCHEUNG,"0000-00-00 00:00:00",NULL
TYS0020260304142609,H1688001_S_10112163,1,16.8,2026-03-04,PROMO_29441,<水果>消費換購,<水果>消費換購,RM_DISCOUNT_SKU_LEVEL,1.2,LMCHEUNG,"0000-00-00 00:00:00",NULL
YTS0220260304142612,H1688001_S_10111868,1,49.9,2026-03-04,PROMO_32536,送檸檬碳酸1支(1),送檸檬碳酸1支(1),RM_DISCOUNT_SKU_LEVEL,10.0,CHWONG,"0000-00-00 00:00:00",NULL
YTS0220260304142612,H0888001_S_10161394,1,10,2026-03-04,PROMO_32536,送檸檬碳酸1支(1),送檸檬碳酸1支(1),RM_DISCOUNT_SKU_LEVEL,8.0,CHWONG,"0000-00-00 00:00:00",NULL
YTS0220260304142612,H1888001_S_16001724,1,20,2026-03-04,PROMO_29588,消費換購1件,消費換購1件,RM_DISCOUNT_SKU_LEVEL,5.0,CHWONG,"0000-00-00 00:00:00",NULL
FVG0220260304142619,H0888001_S_10139862,2,42,2026-03-04,PROMO_27950,"<RM>日本白蛋/韓國蛋/泰國蛋 $42/2","<RM>日本白蛋/韓國蛋/泰國蛋 $42/2",RM_DISCOUNT_SKU_LEVEL,8.0,MF240107,"0000-00-00 00:00:00",NULL
HWP0120260304142625,H0888001_S_10158870,26,46.8,2026-03-04,PROMO_CLEARANCE_DEFAULT|PROMO_26672|PROMO_26675|PROMO_32482,"O2O門市清貨優惠|<RM>  檸檬果汁碳酸飲料 $80/6|<RM> 檸檬果汁碳酸飲料 $28/2|<RM> 買任何貨品 $10 換購一支","O2O Store Clearance Discount|<RM>  檸檬果汁碳酸飲料 $80/6|<RM> 檸檬果汁碳酸飲料 $28/2|<RM> 買任何貨品 $10 換購一支",MANUAL|RM_DISCOUNT_SKU_LEVEL|RM_DISCOUNT_SKU_LEVEL|RM_DISCOUNT_SKU_LEVEL,213.2|112.0|8.0|88.0,HSIP,"0000-00-00 00:00:00",NULL
YLS0020260304142626,H1688001_S_10112341,2,75.9,2026-03-04,PROMO_4347|PROMO_31311|PROMO_32539,"Auto 長者會員每件-$2|<FRUIT>  ALL 藍色長盒珍寶藍莓: $89.9/2盒|送檸檬碳酸1支(2)","Auto Senior Club Member -$2/pcs|<FRUIT> Buy More Save More: $89.9/2|送檸檬碳酸1支(2)",PROMOTION|RM_DISCOUNT_SKU_LEVEL|RM_DISCOUNT_SKU_LEVEL,4.0|10.1|10.0,KMHO,"0000-00-00 00:00:00",NULL
YLS0020260304142626,H0888001_S_10160755,1,8,2026-03-04,PROMO_4347|PROMO_32539,"Auto 長者會員每件-$2|送檸檬碳酸1支(2)","Auto Senior Club Member -$2/pcs|送檸檬碳酸1支(2)",PROMOTION|RM_DISCOUNT_SKU_LEVEL,2.0|8.0,KMHO,"0000-00-00 00:00:00",NULL
SHS0120260304142624,H1688001_S_10111282,1,78,2026-03-04,PROMO_31824,SHS追價,SHS追價,RM_DISCOUNT_SKU_LEVEL,11.9,LYCHUNG,"0000-00-00 00:00:00",NULL
TWS0020260304142629,H1688001_S_10111284,1,89.9,2026-03-04,,,,,,MF250301,"0000-00-00 00:00:00",NULL
SIU0020260304142628,H1688001_S_10111284,1,89.9,2026-03-04,,,,,,WSLEUNG,"0000-00-00 00:00:00",NULL
OLY0120260304142634,H1688001_S_10111271,6,9.9,2026-03-04,PROMO_32533|PROMO_32545,"<FRUIT>  ALL 超甜蜜柑: $19.9/6個|送檸檬碳酸1支(6)","<FRUIT> Buy More Save More: $19.9/6|送檸檬碳酸1支(6)",RM_DISCOUNT_SKU_LEVEL|RM_DISCOUNT_SKU_LEVEL,4.1|10.0,PYLAW,"0000-00-00 00:00:00",NULL
OLY0120260304142634,H0888001_S_10161394,1,8,2026-03-04,PROMO_4347|PROMO_32545,"Auto 長者會員每件-$2|送檸檬碳酸1支(6)","Auto Senior Club Member -$2/pcs|送檸檬碳酸1支(6)",PROMOTION|RM_DISCOUNT_SKU_LEVEL,2.0|8.0,PYLAW,"0000-00-00 00:00:00",NULL
OLY0120260304142634,H1688001_S_10112504,6,19.9,2026-03-04,PROMO_31263,"<FRUIT>  ALL 瑭橙: $19.9/6個","<FRUIT> Buy More Save More: $19.9/6",RM_DISCOUNT_SKU_LEVEL,4.1,PYLAW,"0000-00-00 00:00:00",NULL
CHE0020260304142634,H0888001_S_Clearance_5dollars,1,5,2026-03-04,,,,,,LHCHAN,"0000-00-00 00:00:00",NULL
FVG0220260304142643,H0001001_S_plasticbag1,1,1,2026-03-04,,,,,,MF240107,"0000-00-00 00:00:00",NULL
CIS0020260304142650,H1688001_S_10111838,1,19.9,2026-03-04,PROMO_32536,送檸檬碳酸1支(1),送檸檬碳酸1支(1),RM_DISCOUNT_SKU_LEVEL,10.0,MANWONG,"0000-00-00 00:00:00",NULL
CIS0020260304142650,H1688001_S_10111738,1,29.9,2026-03-04,PROMO_32536,送檸檬碳酸1支(1),送檸檬碳酸1支(1),RM_DISCOUNT_SKU_LEVEL,10.0,MANWONG,"0000-00-00 00:00:00",NULL
CIS0020260304142650,H0888001_S_10161394,2,20,2026-03-04,PROMO_26675|PROMO_32536,"<RM> 檸檬果汁碳酸飲料 $28/2|送檸檬碳酸1支(1)","<RM> 檸檬果汁碳酸飲料 $28/2|送檸檬碳酸1支(1)",RM_DISCOUNT_SKU_LEVEL|RM_DISCOUNT_SKU_LEVEL,8.0|8.0,MANWONG,"0000-00-00 00:00:00",NULL
PMS0320260304142651,H1688001_S_10112304,2,49.9,2026-03-04,PROMO_CLEARANCE_DEFAULT|PROMO_32476,"O2O門市清貨優惠|<FRUIT>  ALL 盒裝黑莓 ／盒裝紅莓 : $49.9/2盒","O2O Store Clearance Discount|<FRUIT>  ALL 盒裝黑莓 ／盒裝紅莓 : $49.9/2盒",MANUAL|RM_DISCOUNT_SKU_LEVEL,3.0|6.1,YYMAK,"0000-00-00 00:00:00",NULL
PMS0320260304142651,H0888001_S_10010656,2,48.5,2026-03-04,PROMO_31758,"<RM>限時優惠 3.6牛乳 $48.5/2","<RM>限時優惠 3.6牛乳 $48.5/2",RM_DISCOUNT_SKU_LEVEL,5.5,YYMAK,"0000-00-00 00:00:00",NULL
TKL0020260304142650,H1688001_S_10112504,6,19.9,2026-03-04,PROMO_31263,"<FRUIT>  ALL 瑭橙: $19.9/6個","<FRUIT> Buy More Save More: $19.9/6",RM_DISCOUNT_SKU_LEVEL,4.1,WIWONG,"0000-00-00 00:00:00",NULL
YMS0220260304142655,H1688001_S_10111816,1,50,2026-03-04,,,,,,CFLO,"0000-00-00 00:00:00",NULL
GCS0220260304142657,H1688001_S_10111838,1,19.9,2026-03-04,PROMO_32536,送檸檬碳酸1支(1),送檸檬碳酸1支(1),RM_DISCOUNT_SKU_LEVEL,10.0,FYLEUNG,"0000-00-00 00:00:00",NULL
GCS0220260304142657,H0888001_S_10018941,2,32.9,2026-03-04,PROMO_32146,消費換購2件,消費換購2件,RM_DISCOUNT_SKU_LEVEL,24.9,FYLEUNG,"0000-00-00 00:00:00",NULL
GCS0220260304142657,H0888001_S_10161394,1,10,2026-03-04,PROMO_32536,送檸檬碳酸1支(1),送檸檬碳酸1支(1),RM_DISCOUNT_SKU_LEVEL,8.0,FYLEUNG,"0000-00-00 00:00:00",NULL
TYS0020260304142700,H0888001_S_10008801,1,16,2026-03-04,PROMO_4347,"Auto 長者會員每件-$2","Auto Senior Club Member -$2/pcs",PROMOTION,2.0,LMCHEUNG,"2000-01-06 00:00:00",NULL
TYS0020260304142700,H1688001_S_10111270,3,33.9,2026-03-04,PROMO_32530,"<FRUIT>  ALL 日本王林蘋果: $33.9/3個","<FRUIT> Buy More Save More: $33.9/3個",RM_DISCOUNT_SKU_LEVEL,5.1,LMCHEUNG,"0000-00-00 00:00:00",NULL
SWH0020260304142659,H0888001_S_Clearance_10dollars,1,10,2026-03-04,,,,,,MF240030,"0000-00-00 00:00:00",NULL
TCS0320260304142703,H1688001_S_10111816,2,79.9,2026-03-04,PROMO_32410|PROMO_32539,"<FRUIT>  ALL 筒裝藍莓皇: $89.9/2筒|送檸檬碳酸1支(2)","<FRUIT> Buy More Save More: $89.9/2|送檸檬碳酸1支(2)",RM_DISCOUNT_SKU_LEVEL|RM_DISCOUNT_SKU_LEVEL,10.1|10.0,HYTO,"0000-00-00 00:00:00",NULL
TCS0320260304142703,H0888001_S_10160755,1,10,2026-03-04,PROMO_32539,送檸檬碳酸1支(2),送檸檬碳酸1支(2),RM_DISCOUNT_SKU_LEVEL,8.0,HYTO,"0000-00-00 00:00:00",NULL
TWS0020260304142709,H0888001_S_10162098,1,138,2026-03-04,,,,,,MF250301,"0000-00-00 00:00:00",NULL
CHE0020260304142718,H0888001_S_Clearance_10dollars,2,20,2026-03-04,,,,,,LHCHAN,"0000-00-00 00:00:00",NULL
FTC0020260304142703,H1688001_S_10111380,2,23.9,2026-03-04,PROMO_32515|PROMO_32539,"<FRUIT>  ALL 超甜神石榴: $33.9/2個|送檸檬碳酸1支(2)","<FRUIT> Buy More Save More: $33.9/2|送檸檬碳酸1支(2)",RM_DISCOUNT_SKU_LEVEL|RM_DISCOUNT_SKU_LEVEL,4.1|10.0,MF250141,"0000-00-00 00:00:00",NULL
FTC0020260304142703,H0888001_S_10160755,1,10,2026-03-04,PROMO_32539,送檸檬碳酸1支(2),送檸檬碳酸1支(2),RM_DISCOUNT_SKU_LEVEL,8.0,MF250141,"0000-00-00 00:00:00",NULL
SHS0120260304142715,H1688001_S_10111282,1,78,2026-03-04,PROMO_31824,SHS追價,SHS追價,RM_DISCOUNT_SKU_LEVEL,11.9,LYCHUNG,"2000-07-08 00:00:00",NULL
SCE0120260304142722,H1688001_S_10111848,1,41.9,2026-03-04,PROMO_CLEARANCE_DEFAULT,O2O門市清貨優惠,"O2O Store Clearance Discount",MANUAL,18.0,MF231188,"0000-00-00 00:00:00",NULL
GCS0220260304142727,H1688001_S_10111839,2,28.6,2026-03-04,PROMO_3566,"O2O 菜類產品買2件9折","O2O Any 2 kinds of veggies, 10% OFF",RM_DISCOUNT_SKU_LEVEL,3.2,FYLEUNG,"0000-00-00 00:00:00",NULL
SHE0020260304142727,H1688001_S_10111315,1,39,2026-03-04,,,,,,KFHO,"0000-00-00 00:00:00",NULL
GIN0220260304142737,H1688001_S_10111284,1,89.9,2026-03-04,,,,,,MF231068,"0000-00-00 00:00:00",NULL
QWP0220260304142736,H1688001_S_10111380,12,203.4,2026-03-04,PROMO_32515,"<FRUIT>  ALL 超甜神石榴: $33.9/2個","<FRUIT> Buy More Save More: $33.9/2",RM_DISCOUNT_SKU_LEVEL,24.6,MF231204,"0000-00-00 00:00:00",NULL
